column,mean_diff,max_diff,std_diff,significant_count,total_count,significant_percentage
rdd1_dindx_403,-98.0,98,0.0,1,1797,0.05564830272676684
rdd1_dindx_380,-94.0,94,0.0,1,1797,0.05564830272676684
rdd1_dindx_381,-107.0,107,0.0,1,1797,0.05564830272676684
rdd1_dindx_382,-113.0,113,0.0,1,1797,0.05564830272676684
rdd1_dindx_383,-116.0,116,0.0,1,1797,0.05564830272676684
rdd1_dindx_384,-118.0,118,0.0,1,1797,0.05564830272676684
rdd1_dindx_385,-122.0,122,0.0,1,1797,0.05564830272676684
rdd1_dindx_386,-125.0,125,0.0,1,1797,0.05564830272676684
rdd1_dindx_387,-134.0,134,0.0,1,1797,0.05564830272676684
rdd1_dindx_388,-139.0,139,0.0,1,1797,0.05564830272676684
rdd1_dindx_389,-141.0,141,0.0,1,1797,0.05564830272676684
rdd1_dindx_390,-158.0,158,0.0,1,1797,0.05564830272676684
rdd1_dindx_391,-103.0,103,0.0,1,1797,0.05564830272676684
rdd1_dindx_392,-106.0,106,0.0,1,1797,0.05564830272676684
rdd1_dindx_393,-108.0,108,0.0,1,1797,0.05564830272676684
rdd1_dindx_394,-110.0,110,0.0,1,1797,0.05564830272676684
rdd1_dindx_395,-112.0,112,0.0,1,1797,0.05564830272676684
rdd1_dindx_396,-114.0,114,0.0,1,1797,0.05564830272676684
rdd1_dindx_397,-119.0,119,0.0,1,1797,0.05564830272676684
rdd1_dindx_398,-129.0,129,0.0,1,1797,0.05564830272676684
rdd1_dindx_399,-131.0,131,0.0,1,1797,0.05564830272676684
rdd1_dindx_416,-103.0,103,0.0,1,1797,0.05564830272676684
