column,mean_diff,max_diff,std_diff,num_nonzero_diff
rdd1_dindx_295,0.46967167501391205,255,12.451164416593407,22
rdd1_dindx_307,0.24040066777963273,255,9.558773088995258,8
rdd1_dindx_33,-0.333889816360601,255,52.483283853911544,667
rdd1_dindx_53,0.18308291597106288,255,61.792239751899956,840
rdd1_dindx_43,0.22537562604340566,255,64.39025995876898,757
rdd1_dindx_44,3.6839176405119645,255,66.49522669058328,761
rdd1_dindx_52,-1.283249860879243,255,63.77046880063064,832
rdd1_dindx_218,1.8380634390651085,255,42.13619619460221,503
rdd1_dindx_217,1.6950473010573177,255,42.95944746891138,511
rdd1_dindx_214,1.6405119643850863,255,43.07453499732696,551
rdd1_dindx_106,1.19810795770729,255,57.25564552659636,1145
rdd1_dindx_93,-0.2854757929883139,255,51.532942448876085,1113
rdd1_dindx_70,0.4713411240957151,255,50.9608171306138,960
rdd1_dindx_64,-1.8274902615470228,255,58.79379527481114,932
rdd1_dindx_199,0.33834168057874237,255,49.399286751783976,716
rdd1_dindx_200,0.6572064552031163,255,49.46161358305563,704
rdd1_dindx_138,2.43683917640512,255,61.12796216190319,1139
rdd1_dindx_156,2.062326099053979,255,55.484515426645004,1082
rdd1_dindx_220,1.9844184752365053,255,45.110854392690996,473
rdd1_dindx_105,-0.8619922092376182,255,57.035295353042955,1137
rdd1_dindx_119,0.773511407902059,255,53.34529021753881,1155
rdd1_dindx_96,0.6265998887033946,255,49.27984689762518,1128
rdd1_dindx_207,1.5197551474680022,255,47.65867413384503,630
rdd1_dindx_174,2.4090150250417364,255,52.79445539868708,952
rdd1_dindx_148,2.065664997217585,255,61.09672969365922,1123
rdd1_dindx_161,1.4468558708959376,255,60.55153746467034,1050
rdd1_dindx_37,1.8096828046744575,254,60.42526398186732,702
rdd1_dindx_38,0.32943795214245963,254,58.71375424485261,717
rdd1_dindx_41,0.535336672231497,254,60.443284610381234,739
rdd1_dindx_40,1.2287145242070117,254,61.62235769965649,733
rdd1_dindx_54,-0.0773511407902059,254,62.0721583083511,852
rdd1_dindx_56,-0.12353923205342238,254,61.27678147432553,870
rdd1_dindx_59,2.6249304396215916,254,58.804748478177295,887
rdd1_dindx_35,2.521424596549805,254,54.101866166834014,692
rdd1_dindx_63,1.7545909849749584,254,57.07821408770161,924
rdd1_dindx_62,-0.09738452977184196,254,53.97669460253675,915
rdd1_dindx_34,0.7662771285475793,254,51.089487087019045,677
rdd1_dindx_246,1.682804674457429,254,28.71680851133154,211
rdd1_dindx_39,2.2960489705063996,254,61.53611668912288,728
rdd1_dindx_254,0.4974958263772955,254,23.19772069103865,158
rdd1_dindx_240,0.5993322203672788,254,31.37785160048628,265
rdd1_dindx_241,1.9499165275459098,254,31.897752379090498,251
rdd1_dindx_22,-0.03171953255425709,254,35.82528238673627,517
rdd1_dindx_26,0.12020033388981637,254,39.800490462157796,565
rdd1_dindx_31,-1.0762381747356706,254,47.89998713565618,638
rdd1_dindx_30,2.027267668336116,254,46.37212276305253,623
rdd1_dindx_176,2.1808569838619922,254,54.08057953301477,933
rdd1_dindx_177,-0.08736783528102393,254,50.81700495803313,925
rdd1_dindx_184,1.2220367278797997,254,50.15060460903699,871
rdd1_dindx_160,-0.19087367835281024,254,56.711365052963274,1062
rdd1_dindx_190,1.2810239287701726,254,49.16686567732361,823
rdd1_dindx_191,1.335559265442404,254,49.45177838009806,810
rdd1_dindx_185,0.2643294379521425,254,52.071701793990755,869
rdd1_dindx_186,1.4190317195325544,254,52.41494405328142,860
rdd1_dindx_182,-0.6655537006121314,254,48.44928618766885,881
rdd1_dindx_167,1.2882582081246523,254,56.84632890315144,998
rdd1_dindx_169,1.3005008347245408,254,52.92293264712149,988
rdd1_dindx_168,2.106288258208125,254,57.39092967131603,996
rdd1_dindx_165,0.31886477462437396,254,52.78548418154887,1019
rdd1_dindx_32,-0.3672787979966611,254,50.19314723080633,650
rdd1_dindx_58,-1.2899276572064553,254,59.23889341363311,880
rdd1_dindx_55,2.239844184752365,254,62.93471026223104,852
rdd1_dindx_242,2.2320534223706177,254,30.84041023680163,243
rdd1_dindx_42,1.7312186978297162,254,64.71512497447924,745
rdd1_dindx_45,-0.9766277128547579,254,66.92751009357444,768
rdd1_dindx_92,2.6588759042849195,254,50.1101063170708,1110
rdd1_dindx_125,-0.7078464106844741,254,56.6291355927099,1153
rdd1_dindx_117,1.511964385086255,254,56.337745475448195,1150
rdd1_dindx_107,0.2159154145798553,254,52.35640576585161,1141
rdd1_dindx_49,2.8252643294379522,254,66.84474463118026,794
rdd1_dindx_233,1.4568725653867558,254,34.56232349957654,323
rdd1_dindx_222,0.899276572064552,254,39.993313082268536,445
rdd1_dindx_221,1.9053978853644964,254,41.5333398381137,457
rdd1_dindx_102,0.20923761825264328,254,51.66532925902301,1135
rdd1_dindx_74,-1.8686700055648302,254,50.386072121574074,1002
rdd1_dindx_75,-0.656093489148581,254,50.493080490237446,1001
rdd1_dindx_48,-1.0907067334446299,254,67.72414592639281,782
rdd1_dindx_50,1.4674457429048413,254,62.701132550667026,807
rdd1_dindx_124,0.3739565943238731,254,54.31150850539573,1154
rdd1_dindx_99,-0.15748469671675014,254,51.48515749524193,1130
rdd1_dindx_126,0.2659988870339455,254,53.04942966756024,1158
rdd1_dindx_110,-0.34724540901502504,254,56.32150593273688,1147
rdd1_dindx_215,1.1725097384529772,254,42.32602955573252,541
rdd1_dindx_208,1.4974958263772955,254,44.21813963087789,613
rdd1_dindx_170,0.6438508625486923,254,54.31338025434735,982
rdd1_dindx_151,1.8786867000556482,254,58.935962879034356,1111
rdd1_dindx_166,0.17640511964385086,254,56.425440334657324,1008
rdd1_dindx_159,2.1819699499165277,254,56.764984738753,1063
rdd1_dindx_158,3.721758486366166,254,56.42516320249359,1071
rdd1_dindx_157,0.9443516972732332,254,59.638992014337525,1082
rdd1_dindx_132,0.29104062326099056,254,56.83935903521156,1145
rdd1_dindx_152,1.122426265998887,254,59.65520978639323,1105
rdd1_dindx_153,1.1719532554257095,254,61.03222584202623,1099
rdd1_dindx_155,2.766833611574847,254,59.097654124584984,1094
rdd1_dindx_204,2.880912632164719,254,50.777168304083645,664
rdd1_dindx_198,1.4257095158597664,254,51.255898487717246,733
rdd1_dindx_202,1.4218141346688926,254,47.67276384153157,681
rdd1_dindx_135,0.5091819699499165,254,54.21062562044444,1141
rdd1_dindx_142,2.7406789092932664,254,54.82771699720004,1143
rdd1_dindx_140,-1.9855314412910405,254,54.993537455186384,1138
rdd1_dindx_192,3.794101279910963,254,50.27880983757591,798
rdd1_dindx_139,-1.1402337228714525,254,57.42387795246433,1137
rdd1_dindx_201,1.1969949916527547,254,44.58074192733731,691
rdd1_dindx_71,-0.6349471341124096,254,50.42499692207202,968
rdd1_dindx_65,-1.271563717306622,254,56.55617305455251,929
rdd1_dindx_80,-0.7395659432387313,254,48.23258040358313,1037
rdd1_dindx_228,1.867557039510295,254,39.57466178800035,374
rdd1_dindx_225,1.0884808013355594,254,41.506085209016994,411
rdd1_dindx_230,0.8898163606010017,254,33.17480542339354,346
rdd1_dindx_78,-0.00667779632721202,254,47.50184321097308,1020
rdd1_dindx_149,3.5203116304952697,254,59.239206045509505,1118
rdd1_dindx_129,-0.4357262103505843,254,53.725563618032794,1162
rdd1_dindx_147,-0.19977740678909292,254,58.150062430428655,1125
rdd1_dindx_145,0.5648302726766834,254,58.12025650858698,1128
rdd1_dindx_137,0.6382860322760155,254,59.80213565588139,1141
rdd1_dindx_203,0.27156371730662215,254,47.4257377304759,672
rdd1_dindx_164,0.5982192543127435,254,56.830483926672635,1020
rdd1_dindx_171,1.9003895381190874,254,56.971671731889415,978
rdd1_dindx_162,3.330550918196995,254,58.53263981425457,1050
rdd1_dindx_262,-0.23316638842515303,253,18.78240369407304,116
rdd1_dindx_23,0.9961046188091264,253,35.67071762836586,522
rdd1_dindx_290,0.8970506399554814,253,12.755261320605063,33
rdd1_dindx_257,0.42125765164162493,253,27.194205698481895,145
rdd1_dindx_353,0.13411240957150808,253,5.973447037507041,2
rdd1_dindx_250,0.7979966611018364,253,26.245572780732903,179
rdd1_dindx_247,0.447968836950473,253,24.346304907569447,204
rdd1_dindx_57,-1.9805230940456315,253,59.017584687462794,869
rdd1_dindx_60,-0.9365609348914858,253,55.673519489688395,896
rdd1_dindx_61,1.7328881469115192,253,57.78868778007098,909
rdd1_dindx_36,-1.5258764607679465,253,57.40760182427555,694
rdd1_dindx_47,1.5731775180856984,253,64.32224291261193,779
rdd1_dindx_46,-0.29938786867000555,253,64.5847785222259,778
rdd1_dindx_94,-1.9771841958820255,253,49.120773019037216,1116
rdd1_dindx_95,-0.7573734001112966,253,50.489778216957724,1122
rdd1_dindx_231,-0.05787423483583751,253,32.46959950610072,338
rdd1_dindx_227,0.7111853088480802,253,35.70478960383369,383
rdd1_dindx_224,0.8898163606010017,253,39.55985007873904,424
rdd1_dindx_234,1.563717306622148,253,32.89111185314693,317
rdd1_dindx_51,2.0122426265998885,253,62.43678040539348,819
rdd1_dindx_66,1.0139120756816917,253,54.85216968135741,940
rdd1_dindx_69,-1.381190873678353,253,51.75351390569368,958
rdd1_dindx_73,-0.9827490261547023,253,52.702916097453155,983
rdd1_dindx_112,0.3266555370061213,253,53.52233788677176,1145
rdd1_dindx_118,1.2058987200890372,253,54.27466687479875,1149
rdd1_dindx_122,1.7128547579298832,253,53.43028801931527,1152
rdd1_dindx_121,0.9276572064552031,253,53.1960318531143,1148
rdd1_dindx_97,-0.21981079577072898,253,51.049422160427646,1134
rdd1_dindx_100,-0.9493600445186422,253,53.893763837891164,1135
rdd1_dindx_127,-0.7929883138564274,253,55.281376628313076,1160
rdd1_dindx_104,1.3516972732331665,253,55.734682958024,1145
rdd1_dindx_212,1.7501391207568169,253,44.59291421328006,574
rdd1_dindx_210,3.6132442960489706,253,45.49026940283665,591
rdd1_dindx_216,3.8658875904284917,253,44.15220474210685,529
rdd1_dindx_213,2.5153032832498607,253,45.15674074736477,559
rdd1_dindx_211,0.8274902615470228,253,44.091474966352024,583
rdd1_dindx_89,0.659432387312187,253,52.06815432523428,1090
rdd1_dindx_84,0.771841958820256,253,49.68370998580799,1061
rdd1_dindx_223,1.1680578742348358,253,39.03682640197726,441
rdd1_dindx_154,4.10016694490818,253,59.369793512521895,1102
rdd1_dindx_136,-0.08903728436282693,253,58.727650902639496,1141
rdd1_dindx_131,0.7306622148024485,253,57.70680619859947,1148
rdd1_dindx_130,2.2659988870339456,253,60.78847006359208,1151
rdd1_dindx_134,2.6716750139120755,253,53.26645929933077,1147
rdd1_dindx_197,1.9437952142459656,253,49.047586419933396,740
rdd1_dindx_143,-0.2598775737340011,253,54.50305488966234,1143
rdd1_dindx_141,0.0005564830272676684,253,56.75659007744864,1139
rdd1_dindx_206,1.5114079020589872,253,45.17553112259035,638
rdd1_dindx_172,2.217584863661658,253,53.56989788115513,964
rdd1_dindx_150,1.10740122426266,253,59.64450553387527,1112
rdd1_dindx_173,0.434613244296049,253,53.95819383303138,955
rdd1_dindx_189,0.4034501947690595,253,49.11081638876571,832
rdd1_dindx_163,1.8063439065108515,253,55.37725429853548,1032
rdd1_dindx_180,0.7423483583750695,253,50.99091382659672,902
rdd1_dindx_181,-1.3661658319421257,253,51.48826288327377,887
rdd1_dindx_205,3.132999443516973,252,50.28441762780495,652
rdd1_dindx_196,0.7056204785754034,252,50.7421014971581,752
rdd1_dindx_128,-0.447968836950473,252,53.21913405792591,1157
rdd1_dindx_133,3.067334446299388,252,59.450988743856456,1150
rdd1_dindx_175,3.703394546466333,252,53.680255105049234,943
rdd1_dindx_27,-0.5075125208681135,252,40.84413379869505,583
rdd1_dindx_29,-0.8330550918196995,252,44.40226846596364,609
rdd1_dindx_146,2.1508069003895383,252,55.972457906954524,1127
rdd1_dindx_144,0.5386755703951029,252,54.449542494156546,1136
rdd1_dindx_113,1.0038953811908737,252,55.977830558546685,1147
rdd1_dindx_183,-0.17974401780745689,252,45.54191684134396,881
rdd1_dindx_67,-0.06343906510851419,252,52.17595102440759,950
rdd1_dindx_237,0.525319977740679,252,30.919682496555815,293
rdd1_dindx_115,0.9410127991096272,252,57.1510692108231,1153
rdd1_dindx_114,-0.5436839176405119,252,56.45214470257592,1146
rdd1_dindx_279,1.2203672787979967,252,20.53080715907202,60
rdd1_dindx_305,0.2810239287701725,252,9.599233730431166,9
rdd1_dindx_24,1.8258208124652198,252,38.80924112103739,535
rdd1_dindx_17,-0.8948247078464107,252,31.283711893992425,447
rdd1_dindx_15,-0.3572621035058431,252,28.100687849453738,407
rdd1_dindx_260,0.5932109070673345,252,24.07474954143997,128
rdd1_dindx_76,-0.10907067334446299,252,50.4977485194727,1006
rdd1_dindx_263,0.572064552031163,252,20.438595382594617,112
rdd1_dindx_255,0.38564273789649417,252,24.994175722030263,154
rdd1_dindx_249,1.518642181413467,252,28.816331870373563,185
rdd1_dindx_91,-1.8447412353923205,252,52.208965870904045,1098
rdd1_dindx_229,1.558708959376739,252,37.88602137443556,363
rdd1_dindx_120,1.3650528658875904,252,53.413968634180215,1151
rdd1_dindx_209,2.67779632721202,252,43.33683760545204,597
rdd1_dindx_109,0.9732888146911519,252,57.64390290824149,1140
rdd1_dindx_111,-0.025041736227045076,252,53.63554059455601,1145
rdd1_dindx_103,-2.7239844184752364,252,54.48287318395826,1136
rdd1_dindx_101,-0.6176961602671118,252,54.21886414723996,1140
rdd1_dindx_98,0.9148580968280468,252,48.536546151819444,1133
rdd1_dindx_123,1.0801335559265441,252,53.06487698131135,1153
rdd1_dindx_178,1.3700612131329994,251,49.640549406762894,908
rdd1_dindx_194,0.8614357262103506,251,52.35424953477391,775
rdd1_dindx_408,0.13967723984418476,251,5.919415297946233,1
rdd1_dindx_352,0.13244296048970505,251,5.927519860339173,2
rdd1_dindx_226,0.7178631051752922,251,38.824447981175844,399
rdd1_dindx_239,0.5392320534223706,251,30.495851037766748,275
rdd1_dindx_21,-1.070673344462994,251,31.807224223294043,506
rdd1_dindx_236,1.052309404563161,251,31.87801145477085,302
rdd1_dindx_86,-0.525319977740679,251,49.29608057792814,1073
rdd1_dindx_85,-2.293823038397329,251,47.1912179600387,1069
rdd1_dindx_108,0.6349471341124096,251,56.16964191594995,1133
rdd1_dindx_28,0.015581524763494713,251,42.94770126333708,601
rdd1_dindx_252,0.31552587646076796,251,24.472055961818096,168
rdd1_dindx_258,0.6605453533667223,251,19.273778506898267,136
rdd1_dindx_271,0.41847523650528656,251,14.630247188245841,78
