(np.float64(0.0), np.float64(0.0))
 : 65(np.float64(65.0), np.float64(30.0))
 : 66(np.float64(66.0), np.float64(27.0))
 : 67(np.float64(67.0), np.float64(44.0))
 : 68(np.float64(68.0), np.float64(21.0))
 : 69(np.float64(68.0), np.float64(52.0))
 : 70(np.float64(76.0), np.float64(255.0))
 : 71(np.float64(77.0), np.float64(250.0))
 : 72(np.float64(78.0), np.float64(247.0))
 : 73(np.float64(79.0), np.float64(244.0))
 : 74(np.float64(80.0), np.float64(241.0))
 : 75(np.float64(83.0), np.float64(3.0))
 : 76(np.float64(84.0), np.float64(231.0))
 : 77(np.float64(84.0), np.float64(255.0))
 : 78(np.float64(85.0), np.float64(216.0))
 : 79(np.float64(85.0), np.float64(220.0))
 : 80(np.float64(88.0), np.float64(221.0))
 : 81(np.float64(89.0), np.float64(215.0))
 : 82(np.float64(89.0), np.float64(223.0))
 : 83(np.float64(90.0), np.float64(212.0))
 : 84(np.float64(91.0), np.float64(211.0))
 : 85(np.float64(91.0), np.float64(236.0))
 : 86(np.float64(92.0), np.float64(209.0))
 : 87(np.float64(92.0), np.float64(234.0))
 : 88(np.float64(93.0), np.float64(206.0))
 : 89(np.float64(94.0), np.float64(201.0))
 : 90(np.float64(94.0), np.float64(203.0))
 : 91(np.float64(95.0), np.float64(197.0))
 : 92(np.float64(96.0), np.float64(194.0))
 : 93(np.float64(96.0), np.float64(223.0))
 : 94(np.float64(98.0), np.float64(191.0))
 : 95(np.float64(100.0), np.float64(185.0))
 : 96(np.float64(101.0), np.float64(182.0))
 : 97(np.float64(103.0), np.float64(178.0))
 : 98(np.float64(105.0), np.float64(170.0))
 : 99(np.float64(106.0), np.float64(166.0))
 : 100(np.float64(107.0), np.float64(164.0))
 : 101(np.float64(108.0), np.float64(161.0))
 : 102(np.float64(109.0), np.float64(158.0))
 : 103(np.float64(110.0), np.float64(155.0))
 : 104(np.float64(110.0), np.float64(157.0))
 : 105(np.float64(111.0), np.float64(154.0))
 : 106(np.float64(112.0), np.float64(151.0))
 : 107(np.float64(113.0), np.float64(146.0))
 : 108(np.float64(114.0), np.float64(145.0))
 : 109(np.float64(115.0), np.float64(143.0))
 : 110(np.float64(118.0), np.float64(161.0))
 : 111(np.float64(120.0), np.float64(156.0))
 : 112(np.float64(127.0), np.float64(133.0))
 : 113(np.float64(128.0), np.float64(104.0))
 : 114(np.float64(132.0), np.float64(94.0))
 : 115(np.float64(136.0), np.float64(109.0))
 : 116(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(6.0), np.float64(44.0))
 : 6(np.float64(7.0), np.float64(25.0))
 : 7(np.float64(7.0), np.float64(31.0))
 : 8(np.float64(9.0), np.float64(58.0))
 : 9(np.float64(10.0), np.float64(14.0))
 : 10(np.float64(10.0), np.float64(62.0))
 : 11(np.float64(11.0), np.float64(26.0))
 : 12(np.float64(13.0), np.float64(34.0))
 : 13(np.float64(13.0), np.float64(59.0))
 : 14(np.float64(14.0), np.float64(3.0))
 : 15(np.float64(14.0), np.float64(48.0))
 : 16(np.float64(15.0), np.float64(4.0))
 : 17(np.float64(15.0), np.float64(68.0))
 : 18(np.float64(18.0), np.float64(40.0))
 : 19(np.float64(20.0), np.float64(28.0))
 : 20(np.float64(20.0), np.float64(30.0))
 : 21(np.float64(20.0), np.float64(32.0))
 : 22(np.float64(21.0), np.float64(47.0))
 : 23(np.float64(21.0), np.float64(106.0))
 : 24(np.float64(24.0), np.float64(50.0))
 : 25(np.float64(25.0), np.float64(38.0))
 : 26(np.float64(25.0), np.float64(51.0))
 : 27(np.float64(26.0), np.float64(41.0))
 : 28(np.float64(27.0), np.float64(43.0))
 : 29(np.float64(27.0), np.float64(46.0))
 : 30(np.float64(28.0), np.float64(48.0))
 : 31(np.float64(28.0), np.float64(51.0))
 : 32(np.float64(29.0), np.float64(52.0))
 : 33(np.float64(29.0), np.float64(55.0))
 : 34(np.float64(30.0), np.float64(59.0))
 : 35(np.float64(33.0), np.float64(64.0))
 : 36(np.float64(33.0), np.float64(69.0))
 : 37(np.float64(36.0), np.float64(74.0))
 : 38(np.float64(37.0), np.float64(77.0))
 : 39(np.float64(42.0), np.float64(92.0))
 : 40(np.float64(43.0), np.float64(97.0))
 : 41(np.float64(44.0), np.float64(102.0))
 : 42(np.float64(45.0), np.float64(104.0))
 : 43(np.float64(47.0), np.float64(111.0))
 : 44(np.float64(48.0), np.float64(113.0))
 : 45(np.float64(48.0), np.float64(116.0))
 : 46(np.float64(50.0), np.float64(119.0))
 : 47(np.float64(50.0), np.float64(122.0))
 : 48(np.float64(51.0), np.float64(125.0))
 : 49(np.float64(54.0), np.float64(136.0))
 : 50(np.float64(56.0), np.float64(145.0))
 : 51(np.float64(57.0), np.float64(149.0))
 : 52(np.float64(58.0), np.float64(153.0))
 : 53(np.float64(59.0), np.float64(156.0))
 : 54(np.float64(60.0), np.float64(158.0))
 : 55(np.float64(61.0), np.float64(161.0))
 : 56(np.float64(62.0), np.float64(166.0))
 : 57(np.float64(63.0), np.float64(164.0))
 : 58(np.float64(64.0), np.float64(169.0))
 : 59(np.float64(64.0), np.float64(173.0))
 : 60(np.float64(65.0), np.float64(208.0))
 : 61(np.float64(66.0), np.float64(177.0))
 : 62(np.float64(75.0), np.float64(207.0))
 : 63(np.float64(76.0), np.float64(209.0))
 : 64(np.float64(77.0), np.float64(213.0))
 : 65(np.float64(79.0), np.float64(218.0))
 : 66(np.float64(81.0), np.float64(226.0))
 : 67(np.float64(82.0), np.float64(218.0))
 : 68(np.float64(82.0), np.float64(227.0))
 : 69(np.float64(83.0), np.float64(231.0))
 : 70(np.float64(83.0), np.float64(233.0))
 : 71(np.float64(84.0), np.float64(238.0))
 : 72(np.float64(85.0), np.float64(241.0))
 : 73(np.float64(86.0), np.float64(242.0))
 : 74(np.float64(87.0), np.float64(246.0))
 : 75(np.float64(88.0), np.float64(249.0))
 : 76(np.float64(89.0), np.float64(253.0))
 : 77(np.float64(90.0), np.float64(1.0))
 : 78(np.float64(90.0), np.float64(3.0))
 : 79(np.float64(92.0), np.float64(7.0))
 : 80(np.float64(93.0), np.float64(9.0))
 : 81(np.float64(95.0), np.float64(17.0))
 : 82(np.float64(96.0), np.float64(21.0))
 : 83(np.float64(97.0), np.float64(27.0))
 : 84(np.float64(98.0), np.float64(29.0))
 : 85(np.float64(100.0), np.float64(35.0))
 : 86(np.float64(101.0), np.float64(36.0))
 : 87(np.float64(101.0), np.float64(38.0))
 : 88(np.float64(102.0), np.float64(41.0))
 : 89(np.float64(103.0), np.float64(44.0))
 : 90(np.float64(104.0), np.float64(48.0))
 : 91(np.float64(106.0), np.float64(55.0))
 : 92(np.float64(107.0), np.float64(56.0))
 : 93(np.float64(109.0), np.float64(66.0))
 : 94(np.float64(127.0), np.float64(126.0))
 : 95(np.float64(137.0), np.float64(158.0))
 : 96(np.float64(138.0), np.float64(163.0))
 : 97(np.float64(139.0), np.float64(165.0))
 : 98(np.float64(139.0), np.float64(167.0))
 : 99(np.float64(140.0), np.float64(169.0))
 : 100(np.float64(142.0), np.float64(175.0))
 : 101(np.float64(152.0), np.float64(212.0))
 : 102(np.float64(159.0), np.float64(234.0))
 : 103(np.float64(160.0), np.float64(238.0))
 : 104(np.float64(163.0), np.float64(246.0))
 : 105(np.float64(164.0), np.float64(250.0))
 : 106(np.float64(164.0), np.float64(252.0))
 : 107(np.float64(178.0), np.float64(44.0))
 : 108(np.float64(179.0), np.float64(47.0))
 : 109(np.float64(185.0), np.float64(67.0))
 : 110(np.float64(192.0), np.float64(89.0))
 : 111(np.float64(193.0), np.float64(94.0))
 : 112(np.float64(194.0), np.float64(96.0))
 : 113(np.float64(196.0), np.float64(104.0))
 : 114(np.float64(202.0), np.float64(124.0))
 : 115(np.float64(218.0), np.float64(178.0))
 : 116(np.float64(240.0), np.float64(252.0))
 : 117(np.float64(240.0), np.float64(255.0))
 : 118(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(6.0), np.float64(254.0))
 : 6(np.float64(7.0), np.float64(235.0))
 : 7(np.float64(9.0), np.float64(249.0))
 : 8(np.float64(11.0), np.float64(211.0))
 : 9(np.float64(13.0), np.float64(207.0))
 : 10(np.float64(14.0), np.float64(213.0))
 : 11(np.float64(14.0), np.float64(215.0))
 : 12(np.float64(15.0), np.float64(179.0))
 : 13(np.float64(15.0), np.float64(242.0))
 : 14(np.float64(16.0), np.float64(164.0))
 : 15(np.float64(16.0), np.float64(175.0))
 : 16(np.float64(16.0), np.float64(238.0))
 : 17(np.float64(17.0), np.float64(225.0))
 : 18(np.float64(18.0), np.float64(230.0))
 : 19(np.float64(19.0), np.float64(186.0))
 : 20(np.float64(20.0), np.float64(225.0))
 : 21(np.float64(21.0), np.float64(157.0))
 : 22(np.float64(21.0), np.float64(167.0))
 : 23(np.float64(21.0), np.float64(170.0))
 : 24(np.float64(22.0), np.float64(163.0))
 : 25(np.float64(23.0), np.float64(159.0))
 : 26(np.float64(25.0), np.float64(150.0))
 : 27(np.float64(26.0), np.float64(133.0))
 : 28(np.float64(27.0), np.float64(131.0))
 : 29(np.float64(28.0), np.float64(128.0))
 : 30(np.float64(30.0), np.float64(125.0))
 : 31(np.float64(30.0), np.float64(127.0))
 : 32(np.float64(31.0), np.float64(117.0))
 : 33(np.float64(32.0), np.float64(112.0))
 : 34(np.float64(33.0), np.float64(109.0))
 : 35(np.float64(33.0), np.float64(116.0))
 : 36(np.float64(34.0), np.float64(107.0))
 : 37(np.float64(34.0), np.float64(114.0))
 : 38(np.float64(36.0), np.float64(104.0))
 : 39(np.float64(37.0), np.float64(101.0))
 : 40(np.float64(41.0), np.float64(85.0))
 : 41(np.float64(42.0), np.float64(84.0))
 : 42(np.float64(44.0), np.float64(76.0))
 : 43(np.float64(44.0), np.float64(78.0))
 : 44(np.float64(45.0), np.float64(72.0))
 : 45(np.float64(46.0), np.float64(69.0))
 : 46(np.float64(48.0), np.float64(63.0))
 : 47(np.float64(48.0), np.float64(66.0))
 : 48(np.float64(49.0), np.float64(61.0))
 : 49(np.float64(50.0), np.float64(57.0))
 : 50(np.float64(50.0), np.float64(59.0))
 : 51(np.float64(51.0), np.float64(54.0))
 : 52(np.float64(52.0), np.float64(52.0))
 : 53(np.float64(52.0), np.float64(83.0))
 : 54(np.float64(53.0), np.float64(50.0))
 : 55(np.float64(55.0), np.float64(45.0))
 : 56(np.float64(57.0), np.float64(41.0))
 : 57(np.float64(58.0), np.float64(37.0))
 : 58(np.float64(60.0), np.float64(31.0))
 : 59(np.float64(61.0), np.float64(23.0))
 : 60(np.float64(61.0), np.float64(27.0))
 : 61(np.float64(62.0), np.float64(22.0))
 : 62(np.float64(63.0), np.float64(18.0))
 : 63(np.float64(65.0), np.float64(14.0))
 : 64(np.float64(65.0), np.float64(16.0))
 : 65(np.float64(66.0), np.float64(12.0))
 : 66(np.float64(75.0), np.float64(237.0))
 : 67(np.float64(75.0), np.float64(239.0))
 : 68(np.float64(76.0), np.float64(233.0))
 : 69(np.float64(77.0), np.float64(230.0))
 : 70(np.float64(78.0), np.float64(227.0))
 : 71(np.float64(81.0), np.float64(218.0))
 : 72(np.float64(82.0), np.float64(203.0))
 : 73(np.float64(82.0), np.float64(214.0))
 : 74(np.float64(83.0), np.float64(213.0))
 : 75(np.float64(84.0), np.float64(210.0))
 : 76(np.float64(86.0), np.float64(202.0))
 : 77(np.float64(87.0), np.float64(199.0))
 : 78(np.float64(89.0), np.float64(196.0))
 : 79(np.float64(91.0), np.float64(190.0))
 : 80(np.float64(92.0), np.float64(185.0))
 : 81(np.float64(94.0), np.float64(179.0))
 : 82(np.float64(96.0), np.float64(172.0))
 : 83(np.float64(98.0), np.float64(168.0))
 : 84(np.float64(99.0), np.float64(165.0))
 : 85(np.float64(100.0), np.float64(159.0))
 : 86(np.float64(101.0), np.float64(157.0))
 : 87(np.float64(102.0), np.float64(153.0))
 : 88(np.float64(103.0), np.float64(150.0))
 : 89(np.float64(104.0), np.float64(148.0))
 : 90(np.float64(105.0), np.float64(144.0))
 : 91(np.float64(106.0), np.float64(140.0))
 : 92(np.float64(106.0), np.float64(142.0))
 : 93(np.float64(107.0), np.float64(139.0))
 : 94(np.float64(109.0), np.float64(131.0))
 : 95(np.float64(109.0), np.float64(133.0))
 : 96(np.float64(111.0), np.float64(127.0))
 : 97(np.float64(126.0), np.float64(79.0))
 : 98(np.float64(136.0), np.float64(50.0))
 : 99(np.float64(137.0), np.float64(46.0))
 : 100(np.float64(138.0), np.float64(43.0))
 : 101(np.float64(141.0), np.float64(35.0))
 : 102(np.float64(146.0), np.float64(20.0))
 : 103(np.float64(151.0), np.float64(2.0))
 : 104(np.float64(153.0), np.float64(90.0))
 : 105(np.float64(157.0), np.float64(242.0))
 : 106(np.float64(159.0), np.float64(235.0))
 : 107(np.float64(160.0), np.float64(232.0))
 : 108(np.float64(163.0), np.float64(222.0))
 : 109(np.float64(164.0), np.float64(220.0))
 : 110(np.float64(178.0), np.float64(178.0))
 : 111(np.float64(190.0), np.float64(139.0))
 : 112(np.float64(192.0), np.float64(135.0))
 : 113(np.float64(194.0), np.float64(127.0))
 : 114(np.float64(195.0), np.float64(126.0))
 : 115(np.float64(199.0), np.float64(113.0))
 : 116(np.float64(207.0), np.float64(87.0))
 : 117(np.float64(218.0), np.float64(56.0))
 : 118(np.float64(233.0), np.float64(7.0))
 : 119(np.float64(238.0), np.float64(249.0))
 : 120(np.float64(243.0), np.float64(235.0))
 : 121(np.float64(246.0), np.float64(223.0))
 : 122(np.float64(292.0), np.float64(85.0))
 : 123(np.float64(340.0), np.float64(67.0))
 : 124(np.float64(340.0), np.float64(235.0))
 : 125(np.float64(0.0), np.float64(0.0))
 : 126(np.float64(0.0), np.float64(0.0))
 : 127(np.float64(0.0), np.float64(0.0))
 : 128(np.float64(0.0), np.float64(0.0))
 : 129(np.float64(0.0), np.float64(0.0))
 : 130(np.float64(0.0), np.float64(0.0))
 : 131(np.float64(0.0), np.float64(0.0))
 : 132(np.float64(0.0), np.float64(0.0))
 : 133(np.float64(0.0), np.float64(0.0))
 : 134(np.float64(0.0), np.float64(0.0))
 : 135(np.float64(0.0), np.float64(0.0))
 : 136(np.float64(0.0), np.float64(0.0))
 : 137(np.float64(0.0), np.float64(0.0))
 : 138(np.float64(0.0), np.float64(0.0))
 : 139(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(6.0), np.float64(36.0))
 : 6(np.float64(7.0), np.float64(24.0))
 : 7(np.float64(9.0), np.float64(4.0))
 : 8(np.float64(9.0), np.float64(53.0))
 : 9(np.float64(11.0), np.float64(22.0))
 : 10(np.float64(13.0), np.float64(25.0))
 : 11(np.float64(15.0), np.float64(6.0))
 : 12(np.float64(15.0), np.float64(14.0))
 : 13(np.float64(15.0), np.float64(89.0))
 : 14(np.float64(18.0), np.float64(80.0))
 : 15(np.float64(18.0), np.float64(96.0))
 : 16(np.float64(19.0), np.float64(28.0))
 : 17(np.float64(19.0), np.float64(84.0))
 : 18(np.float64(19.0), np.float64(97.0))
 : 19(np.float64(20.0), np.float64(104.0))
 : 20(np.float64(21.0), np.float64(29.0))
 : 21(np.float64(21.0), np.float64(34.0))
 : 22(np.float64(22.0), np.float64(38.0))
 : 23(np.float64(22.0), np.float64(47.0))
 : 24(np.float64(23.0), np.float64(49.0))
 : 25(np.float64(24.0), np.float64(50.0))
 : 26(np.float64(26.0), np.float64(42.0))
 : 27(np.float64(27.0), np.float64(45.0))
 : 28(np.float64(28.0), np.float64(51.0))
 : 29(np.float64(29.0), np.float64(53.0))
 : 30(np.float64(29.0), np.float64(57.0))
 : 31(np.float64(30.0), np.float64(59.0))
 : 32(np.float64(31.0), np.float64(61.0))
 : 33(np.float64(33.0), np.float64(65.0))
 : 34(np.float64(33.0), np.float64(72.0))
 : 35(np.float64(34.0), np.float64(68.0))
 : 36(np.float64(34.0), np.float64(75.0))
 : 37(np.float64(35.0), np.float64(73.0))
 : 38(np.float64(36.0), np.float64(77.0))
 : 39(np.float64(37.0), np.float64(80.0))
 : 40(np.float64(41.0), np.float64(92.0))
 : 41(np.float64(42.0), np.float64(96.0))
 : 42(np.float64(44.0), np.float64(102.0))
 : 43(np.float64(45.0), np.float64(106.0))
 : 44(np.float64(46.0), np.float64(111.0))
 : 45(np.float64(47.0), np.float64(112.0))
 : 46(np.float64(48.0), np.float64(118.0))
 : 47(np.float64(49.0), np.float64(121.0))
 : 48(np.float64(50.0), np.float64(125.0))
 : 49(np.float64(51.0), np.float64(128.0))
 : 50(np.float64(51.0), np.float64(211.0))
 : 51(np.float64(52.0), np.float64(130.0))
 : 52(np.float64(53.0), np.float64(134.0))
 : 53(np.float64(54.0), np.float64(137.0))
 : 54(np.float64(55.0), np.float64(139.0))
 : 55(np.float64(55.0), np.float64(141.0))
 : 56(np.float64(56.0), np.float64(149.0))
 : 57(np.float64(57.0), np.float64(153.0))
 : 58(np.float64(59.0), np.float64(158.0))
 : 59(np.float64(59.0), np.float64(161.0))
 : 60(np.float64(61.0), np.float64(166.0))
 : 61(np.float64(63.0), np.float64(172.0))
 : 62(np.float64(64.0), np.float64(174.0))
 : 63(np.float64(66.0), np.float64(181.0))
 : 64(np.float64(67.0), np.float64(185.0))
 : 65(np.float64(69.0), np.float64(204.0))
 : 66(np.float64(75.0), np.float64(212.0))
 : 67(np.float64(76.0), np.float64(215.0))
 : 68(np.float64(77.0), np.float64(216.0))
 : 69(np.float64(79.0), np.float64(224.0))
 : 70(np.float64(81.0), np.float64(233.0))
 : 71(np.float64(82.0), np.float64(237.0))
 : 72(np.float64(84.0), np.float64(245.0))
 : 73(np.float64(86.0), np.float64(248.0))
 : 74(np.float64(87.0), np.float64(254.0))
 : 75(np.float64(88.0), np.float64(1.0))
 : 76(np.float64(88.0), np.float64(255.0))
 : 77(np.float64(89.0), np.float64(3.0))
 : 78(np.float64(89.0), np.float64(6.0))
 : 79(np.float64(90.0), np.float64(10.0))
 : 80(np.float64(92.0), np.float64(14.0))
 : 81(np.float64(95.0), np.float64(24.0))
 : 82(np.float64(96.0), np.float64(29.0))
 : 83(np.float64(98.0), np.float64(34.0))
 : 84(np.float64(99.0), np.float64(38.0))
 : 85(np.float64(101.0), np.float64(44.0))
 : 86(np.float64(102.0), np.float64(48.0))
 : 87(np.float64(103.0), np.float64(52.0))
 : 88(np.float64(104.0), np.float64(56.0))
 : 89(np.float64(106.0), np.float64(63.0))
 : 90(np.float64(109.0), np.float64(75.0))
 : 91(np.float64(111.0), np.float64(81.0))
 : 92(np.float64(127.0), np.float64(135.0))
 : 93(np.float64(136.0), np.float64(168.0))
 : 94(np.float64(138.0), np.float64(173.0))
 : 95(np.float64(138.0), np.float64(176.0))
 : 96(np.float64(139.0), np.float64(178.0))
 : 97(np.float64(141.0), np.float64(186.0))
 : 98(np.float64(144.0), np.float64(196.0))
 : 99(np.float64(152.0), np.float64(223.0))
 : 100(np.float64(155.0), np.float64(234.0))
 : 101(np.float64(157.0), np.float64(242.0))
 : 102(np.float64(159.0), np.float64(250.0))
 : 103(np.float64(161.0), np.float64(0.0))
 : 104(np.float64(162.0), np.float64(4.0))
 : 105(np.float64(163.0), np.float64(8.0))
 : 106(np.float64(167.0), np.float64(19.0))
 : 107(np.float64(168.0), np.float64(25.0))
 : 108(np.float64(172.0), np.float64(38.0))
 : 109(np.float64(178.0), np.float64(59.0))
 : 110(np.float64(179.0), np.float64(62.0))
 : 111(np.float64(185.0), np.float64(83.0))
 : 112(np.float64(189.0), np.float64(98.0))
 : 113(np.float64(191.0), np.float64(103.0))
 : 114(np.float64(192.0), np.float64(108.0))
 : 115(np.float64(193.0), np.float64(110.0))
 : 116(np.float64(197.0), np.float64(124.0))
 : 117(np.float64(199.0), np.float64(132.0))
 : 118(np.float64(213.0), np.float64(181.0))
 : 119(np.float64(234.0), np.float64(254.0))
 : 120(np.float64(235.0), np.float64(1.0))
 : 121(np.float64(238.0), np.float64(13.0))
 : 122(np.float64(243.0), np.float64(30.0))
 : 123(np.float64(246.0), np.float64(41.0))
 : 124(np.float64(247.0), np.float64(42.0))
 : 125(np.float64(292.0), np.float64(202.0))
 : 126(np.float64(0.0), np.float64(0.0))
 : 127(np.float64(0.0), np.float64(0.0))
 : 128(np.float64(0.0), np.float64(0.0))
 : 129(np.float64(0.0), np.float64(0.0))
 : 130(np.float64(0.0), np.float64(0.0))
 : 131(np.float64(0.0), np.float64(0.0))
 : 132(np.float64(0.0), np.float64(0.0))
 : 133(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(6.0), np.float64(248.0))
 : 6(np.float64(7.0), np.float64(232.0))
 : 7(np.float64(8.0), np.float64(223.0))
 : 8(np.float64(8.0), np.float64(225.0))
 : 9(np.float64(8.0), np.float64(227.0))
 : 10(np.float64(8.0), np.float64(229.0))
 : 11(np.float64(9.0), np.float64(206.0))
 : 12(np.float64(9.0), np.float64(211.0))
 : 13(np.float64(9.0), np.float64(236.0))
 : 14(np.float64(9.0), np.float64(249.0))
 : 15(np.float64(10.0), np.float64(209.0))
 : 16(np.float64(11.0), np.float64(204.0))
 : 17(np.float64(11.0), np.float64(229.0))
 : 18(np.float64(13.0), np.float64(206.0))
 : 19(np.float64(13.0), np.float64(218.0))
 : 20(np.float64(14.0), np.float64(230.0))
 : 21(np.float64(15.0), np.float64(172.0))
 : 22(np.float64(15.0), np.float64(174.0))
 : 23(np.float64(16.0), np.float64(168.0))
 : 24(np.float64(16.0), np.float64(177.0))
 : 25(np.float64(16.0), np.float64(237.0))
 : 26(np.float64(16.0), np.float64(239.0))
 : 27(np.float64(16.0), np.float64(242.0))
 : 28(np.float64(18.0), np.float64(219.0))
 : 29(np.float64(18.0), np.float64(230.0))
 : 30(np.float64(19.0), np.float64(227.0))
 : 31(np.float64(20.0), np.float64(184.0))
 : 32(np.float64(20.0), np.float64(214.0))
 : 33(np.float64(21.0), np.float64(208.0))
 : 34(np.float64(22.0), np.float64(156.0))
 : 35(np.float64(22.0), np.float64(158.0))
 : 36(np.float64(23.0), np.float64(150.0))
 : 37(np.float64(23.0), np.float64(152.0))
 : 38(np.float64(23.0), np.float64(162.0))
 : 39(np.float64(23.0), np.float64(167.0))
 : 40(np.float64(23.0), np.float64(216.0))
 : 41(np.float64(24.0), np.float64(145.0))
 : 42(np.float64(24.0), np.float64(160.0))
 : 43(np.float64(24.0), np.float64(164.0))
 : 44(np.float64(30.0), np.float64(130.0))
 : 45(np.float64(31.0), np.float64(128.0))
 : 46(np.float64(32.0), np.float64(125.0))
 : 47(np.float64(33.0), np.float64(122.0))
 : 48(np.float64(34.0), np.float64(119.0))
 : 49(np.float64(35.0), np.float64(113.0))
 : 50(np.float64(35.0), np.float64(117.0))
 : 51(np.float64(36.0), np.float64(145.0))
 : 52(np.float64(37.0), np.float64(108.0))
 : 53(np.float64(39.0), np.float64(102.0))
 : 54(np.float64(39.0), np.float64(105.0))
 : 55(np.float64(44.0), np.float64(87.0))
 : 56(np.float64(46.0), np.float64(81.0))
 : 57(np.float64(47.0), np.float64(80.0))
 : 58(np.float64(48.0), np.float64(75.0))
 : 59(np.float64(48.0), np.float64(79.0))
 : 60(np.float64(50.0), np.float64(71.0))
 : 61(np.float64(51.0), np.float64(66.0))
 : 62(np.float64(53.0), np.float64(61.0))
 : 63(np.float64(53.0), np.float64(63.0))
 : 64(np.float64(54.0), np.float64(59.0))
 : 65(np.float64(55.0), np.float64(55.0))
 : 66(np.float64(55.0), np.float64(57.0))
 : 67(np.float64(56.0), np.float64(89.0))
 : 68(np.float64(59.0), np.float64(48.0))
 : 69(np.float64(61.0), np.float64(44.0))
 : 70(np.float64(62.0), np.float64(40.0))
 : 71(np.float64(63.0), np.float64(35.0))
 : 72(np.float64(63.0), np.float64(38.0))
 : 73(np.float64(65.0), np.float64(26.0))
 : 74(np.float64(65.0), np.float64(31.0))
 : 75(np.float64(68.0), np.float64(23.0))
 : 76(np.float64(80.0), np.float64(241.0))
 : 77(np.float64(80.0), np.float64(243.0))
 : 78(np.float64(81.0), np.float64(237.0))
 : 79(np.float64(83.0), np.float64(232.0))
 : 80(np.float64(85.0), np.float64(226.0))
 : 81(np.float64(85.0), np.float64(228.0))
 : 82(np.float64(86.0), np.float64(223.0))
 : 83(np.float64(87.0), np.float64(221.0))
 : 84(np.float64(88.0), np.float64(206.0))
 : 85(np.float64(88.0), np.float64(219.0))
 : 86(np.float64(89.0), np.float64(217.0))
 : 87(np.float64(90.0), np.float64(214.0))
 : 88(np.float64(91.0), np.float64(210.0))
 : 89(np.float64(93.0), np.float64(205.0))
 : 90(np.float64(94.0), np.float64(202.0))
 : 91(np.float64(95.0), np.float64(199.0))
 : 92(np.float64(96.0), np.float64(198.0))
 : 93(np.float64(97.0), np.float64(191.0))
 : 94(np.float64(99.0), np.float64(186.0))
 : 95(np.float64(100.0), np.float64(185.0))
 : 96(np.float64(101.0), np.float64(182.0))
 : 97(np.float64(102.0), np.float64(178.0))
 : 98(np.float64(103.0), np.float64(175.0))
 : 99(np.float64(104.0), np.float64(174.0))
 : 100(np.float64(105.0), np.float64(169.0))
 : 101(np.float64(107.0), np.float64(166.0))
 : 102(np.float64(108.0), np.float64(162.0))
 : 103(np.float64(109.0), np.float64(157.0))
 : 104(np.float64(111.0), np.float64(153.0))
 : 105(np.float64(112.0), np.float64(149.0))
 : 106(np.float64(112.0), np.float64(151.0))
 : 107(np.float64(113.0), np.float64(148.0))
 : 108(np.float64(116.0), np.float64(140.0))
 : 109(np.float64(117.0), np.float64(136.0))
 : 110(np.float64(119.0), np.float64(132.0))
 : 111(np.float64(122.0), np.float64(123.0))
 : 112(np.float64(131.0), np.float64(96.0))
 : 113(np.float64(134.0), np.float64(87.0))
 : 114(np.float64(144.0), np.float64(59.0))
 : 115(np.float64(145.0), np.float64(55.0))
 : 116(np.float64(146.0), np.float64(53.0))
 : 117(np.float64(147.0), np.float64(51.0))
 : 118(np.float64(149.0), np.float64(44.0))
 : 119(np.float64(150.0), np.float64(43.0))
 : 120(np.float64(160.0), np.float64(12.0))
 : 121(np.float64(167.0), np.float64(250.0))
 : 122(np.float64(168.0), np.float64(246.0))
 : 123(np.float64(171.0), np.float64(237.0))
 : 124(np.float64(173.0), np.float64(233.0))
 : 125(np.float64(174.0), np.float64(230.0))
 : 126(np.float64(181.0), np.float64(209.0))
 : 127(np.float64(182.0), np.float64(207.0))
 : 128(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(6.0), np.float64(25.0))
 : 6(np.float64(7.0), np.float64(33.0))
 : 7(np.float64(8.0), np.float64(12.0))
