(np.float64(0.0), np.float64(0.0))
 : 132(np.float64(0.0), np.float64(0.0))
 : 133(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(8.0), np.float64(31.0))
 : 6(np.float64(8.0), np.float64(34.0))
 : 7(np.float64(8.0), np.float64(40.0))
 : 8(np.float64(9.0), np.float64(42.0))
 : 9(np.float64(9.0), np.float64(53.0))
 : 10(np.float64(9.0), np.float64(56.0))
 : 11(np.float64(9.0), np.float64(58.0))
 : 12(np.float64(9.0), np.float64(68.0))
 : 13(np.float64(10.0), np.float64(44.0))
 : 14(np.float64(10.0), np.float64(49.0))
 : 15(np.float64(11.0), np.float64(39.0))
 : 16(np.float64(11.0), np.float64(58.0))
 : 17(np.float64(13.0), np.float64(44.0))
 : 18(np.float64(15.0), np.float64(25.0))
 : 19(np.float64(15.0), np.float64(50.0))
 : 20(np.float64(15.0), np.float64(52.0))
 : 21(np.float64(16.0), np.float64(27.0))
 : 22(np.float64(17.0), np.float64(24.0))
 : 23(np.float64(17.0), np.float64(26.0))
 : 24(np.float64(18.0), np.float64(61.0))
 : 25(np.float64(19.0), np.float64(66.0))
 : 26(np.float64(22.0), np.float64(28.0))
 : 27(np.float64(22.0), np.float64(30.0))
 : 28(np.float64(24.0), np.float64(37.0))
 : 29(np.float64(24.0), np.float64(39.0))
 : 30(np.float64(25.0), np.float64(41.0))
 : 31(np.float64(25.0), np.float64(46.0))
 : 32(np.float64(25.0), np.float64(86.0))
 : 33(np.float64(27.0), np.float64(50.0))
 : 34(np.float64(29.0), np.float64(53.0))
 : 35(np.float64(29.0), np.float64(61.0))
 : 36(np.float64(29.0), np.float64(90.0))
 : 37(np.float64(30.0), np.float64(65.0))
 : 38(np.float64(31.0), np.float64(94.0))
 : 39(np.float64(32.0), np.float64(64.0))
 : 40(np.float64(32.0), np.float64(99.0))
 : 41(np.float64(33.0), np.float64(67.0))
 : 42(np.float64(39.0), np.float64(85.0))
